month,year,grain height,deer,hunters,precipitation,temperature,,Month in Sim,Grain Height (inches),Deer,Hunters,Precipitation,Temp (celsius)
1,2026,14.3492775,3,1,10.76758,46.53019333,,61,36.44716485,3,1,10.76758,8.072329628
2,2026,11.58185577,3,2,11.81991,59.03321075,,62,29.41791366,3,2,11.81991,15.01845042
3,2026,8.58266449,4,2,13.05766,70.37121582,,63,21.7999678,4,2,13.05766,21.31734212
4,2026,4.5826683,3,2,12.92123,78.20531464,,64,11.63997748,3,2,12.92123,25.66961924
5,2026,1.5826683,4,2,9.97066,87.50138855,,65,4.019977482,4,2,9.97066,30.83410475
6,2026,0,1,2,7.42098,71.37174225,,66,0,1,2,7.42098,21.87319014
7,2026,0,0,1,1.98558,66.79719543,,67,0,0,1,1.98558,19.33177524
8,2026,0.00671977,0,0,1.866,65.57011414,,68,0.017068216,0,0,1.866,18.65006341
9,2026,0.5417214,0,0,0.5786,53.91072083,,69,1.375972356,0,0,0.5786,12.17262268
10,2026,2.83552551,0,0,4.19243,50.14758301,,70,7.202234795,0,0,4.19243,10.08199056
11,2026,7.07267857,1,0,5.39077,32.64552689,,71,17.96460357,1,0,5.39077,0.35862605
